displ,cyl,drv,cty,hwy,class
2,4,f,21,29,subcompact
3.1,6,f,18,27,compact
2.5,5,f,21,29,compact
3.5,6,f,19,28,midsize
5.3,8,4,14,19,suv
3.1,6,f,18,26,midsize
3.7,6,4,15,19,pickup
3.3,6,f,11,17,minivan
5.3,8,r,14,20,suv
3.8,6,f,18,28,midsize
2,4,f,21,29,subcompact
1.6,4,f,24,32,subcompact
4.6,8,r,15,22,subcompact
2,4,f,22,29,compact
2.8,6,4,15,24,midsize
2.2,4,f,21,27,compact
5.4,8,r,11,17,suv
3,6,f,18,26,compact
2.7,4,4,17,22,pickup
4.7,8,4,9,12,pickup
1.8,4,f,24,36,subcompact
4.4,8,4,12,18,suv
3.8,6,f,17,27,midsize
4.6,8,r,11,17,suv
2.4,4,f,21,31,midsize
5.7,8,4,13,18,suv
2.8,6,f,16,23,compact
4.6,8,4,13,19,suv
2.4,4,f,19,27,compact
3.3,6,f,17,24,minivan
1.8,4,f,26,35,compact
2.4,4,f,18,24,minivan
3.8,6,f,15,22,minivan
1.8,4,4,16,25,compact
4.7,8,4,11,15,suv
3.9,6,4,14,17,pickup
2.5,4,4,18,25,suv
2.4,4,f,21,31,midsize
3.6,6,f,17,26,midsize
5.7,8,r,13,17,suv
4.7,8,4,14,17,suv
2.8,6,f,17,24,compact
5,8,4,13,17,suv
2,4,f,19,26,compact
1.8,4,f,18,29,compact
4.7,8,4,13,17,suv
2.5,4,4,18,24,suv
1.8,4,f,24,33,compact
2.4,4,f,18,26,midsize
2.5,4,f,23,32,midsize
2.2,4,f,21,29,midsize
3.9,6,4,13,17,pickup
4.7,8,4,9,12,suv
2.8,6,f,16,26,midsize
4.7,8,4,14,19,suv
2,4,f,19,26,subcompact
2.5,4,f,23,31,midsize
3.5,6,f,18,29,midsize
4,6,4,15,18,pickup
2.5,6,f,18,26,midsize
4,6,r,16,24,subcompact
4.2,6,4,14,17,pickup
5.7,8,r,15,23,2seater
6.5,8,4,14,17,suv
5.4,8,r,12,18,suv
2,4,f,22,29,compact
3.4,6,4,15,19,pickup
1.9,4,f,29,41,subcompact
4.7,8,4,14,19,pickup
1.8,4,f,21,29,compact
2.5,6,f,18,26,midsize
4.7,8,4,9,12,pickup
1.9,4,f,33,44,compact
4.6,8,r,15,22,subcompact
2.5,5,f,21,29,compact
1.8,4,f,26,35,compact
5.3,8,r,14,20,suv
2.8,6,4,15,25,compact
4.7,8,4,13,17,pickup
1.8,4,f,25,36,subcompact
6.1,8,4,11,14,suv
2.4,4,f,22,30,midsize
4,6,4,16,20,pickup
3.3,6,4,15,17,suv
3.9,6,4,13,17,suv
5.7,8,r,16,26,2seater
2.7,4,4,15,20,pickup
3,6,f,18,26,compact
2,4,f,20,31,compact
4.6,8,r,15,23,subcompact
2.7,6,f,17,24,subcompact
2.7,4,4,15,20,suv
2.5,4,4,20,25,compact
3.3,6,f,19,28,midsize
4.2,6,4,14,17,pickup
5.3,8,4,11,14,suv
2.4,4,f,21,31,compact
2,4,f,21,29,compact
2,4,f,21,29,compact
2.5,5,f,20,28,subcompact
5.4,8,r,11,17,suv
4.7,8,4,14,19,pickup
3.4,6,4,15,17,pickup
4.7,8,4,13,17,suv
2,4,f,21,29,midsize
4.7,8,4,9,12,pickup
3,6,f,18,26,midsize
2.5,4,4,20,27,compact
2.5,4,4,19,25,compact
4.2,8,4,16,23,midsize
2.5,4,4,18,23,suv
3.3,6,f,16,22,minivan
2.4,4,f,21,31,midsize
2.4,4,f,21,29,compact
1.8,4,f,18,29,midsize
4.6,8,4,11,15,suv
3.6,6,f,17,26,midsize
2.8,6,f,18,26,midsize
2,4,f,20,27,subcompact
5.4,8,4,11,15,pickup
4,8,4,11,15,suv
2,4,f,19,26,subcompact
2.2,4,f,21,27,midsize
3,6,f,18,26,midsize
2.4,4,f,18,27,midsize
1.8,4,f,28,37,compact
5.2,8,4,11,15,pickup
4.6,8,r,15,21,subcompact
4,6,4,14,17,suv
5.3,8,f,16,25,midsize
1.6,4,f,28,33,subcompact
3,6,f,18,26,midsize
3.1,6,4,17,25,compact
3.1,6,4,17,25,midsize
1.9,4,f,35,44,subcompact
2.5,4,4,19,26,subcompact
2,4,f,19,28,midsize
3.7,6,4,14,18,pickup
5.7,8,4,13,17,pickup
1.8,4,f,21,29,midsize
4,6,4,15,19,suv
3.3,6,f,18,27,compact
3.4,6,4,15,19,suv
2.5,5,f,20,29,subcompact
4.7,8,4,12,16,pickup
2,4,f,21,29,compact
4.7,8,4,13,17,pickup
2.8,6,f,16,26,compact
5.7,8,4,13,18,suv
3.8,6,r,18,26,subcompact
3.3,6,f,17,24,minivan
2.2,4,f,21,29,compact
4,6,r,17,26,subcompact
1.6,4,f,23,29,subcompact
1.6,4,f,24,32,subcompact
2.8,6,4,17,25,compact
3.1,6,4,15,25,compact
